"","species","lambda","ml","sel"
"1","achillea_millefolium",401,0.0309566263682235,0.000885270162743716
"2","achillea_millefolium",402.4,0.0308813140946368,0.000912355791734838
"3","achillea_millefolium",403.9,0.030972549131257,0.000928395384734473
"4","achillea_millefolium",405.4,0.0312379677486002,0.000915226861902046
"5","achillea_millefolium",406.8,0.0314139328892504,0.000866045958227077
"6","achillea_millefolium",408.3,0.031015414346843,0.000865998859059253
"7","achillea_millefolium",409.8,0.0311306435520127,0.000901437355218203
"8","achillea_millefolium",411.2,0.0310714435094101,0.000916118682829412
"9","achillea_millefolium",412.7,0.0313042370851138,0.00092213161993796
"10","achillea_millefolium",414.2,0.0314566764504174,0.000940431444913926
"11","achillea_millefolium",415.6,0.0318071378561334,0.000923067507753809
"12","achillea_millefolium",417.1,0.0319213921200224,0.000925896689166573
"13","achillea_millefolium",418.5,0.0319873195619682,0.000926813065564387
"14","achillea_millefolium",420,0.0321231605238602,0.000928701550545281
"15","achillea_millefolium",421.5,0.0324391837637941,0.000945258305136595
"16","achillea_millefolium",422.9,0.0323912306750409,0.000982684151047368
"17","achillea_millefolium",424.4,0.0327866424167025,0.000988449113798785
"18","achillea_millefolium",425.8,0.0328982066018225,0.000970258415394912
"19","achillea_millefolium",427.3,0.0329680424887329,0.000964221248801191
"20","achillea_millefolium",428.8,0.0330314717203828,0.000969327753330168
"21","achillea_millefolium",430.2,0.0331655484108383,0.000976980891179802
"22","achillea_millefolium",431.7,0.0332681239462058,0.000990753109640324
"23","achillea_millefolium",433.1,0.0334855066097874,0.0010013637242298
"24","achillea_millefolium",434.6,0.0335259432730294,0.00100479559357458
"25","achillea_millefolium",436,0.0336552813135063,0.00101985032782437
"26","achillea_millefolium",437.5,0.0337945443716459,0.00101899662809501
"27","achillea_millefolium",438.9,0.0338820058635607,0.00102029339251566
"28","achillea_millefolium",440.4,0.0341171852460669,0.00102610938713081
"29","achillea_millefolium",441.9,0.0343030120573968,0.00103821625971718
"30","achillea_millefolium",443.3,0.034616444812989,0.00105008791876685
"31","achillea_millefolium",444.8,0.0347932786159561,0.00105818294575125
"32","achillea_millefolium",446.2,0.034975787702219,0.00105773254098616
"33","achillea_millefolium",447.6,0.0351754138168521,0.00106208473417241
"34","achillea_millefolium",449.1,0.0354368416431196,0.00106276376693358
"35","achillea_millefolium",450.5,0.035858749553497,0.00107607079823196
"36","achillea_millefolium",452,0.0361352081092936,0.00109124387887828
"37","achillea_millefolium",453.4,0.036405821343946,0.00110146090340111
"38","achillea_millefolium",454.9,0.0365855030848894,0.00110425977840514
"39","achillea_millefolium",456.3,0.0367436048081252,0.0011027771958282
"40","achillea_millefolium",457.8,0.0369569136328266,0.00110218896096376
